batter,phase,runs,balls,fours,sixes,dot_balls,strike_rate,dot_ball_rate
A Ashish Reddy,Death,214,146,13,10,36,146.58,24.66
A Ashish Reddy,Middle,61,41,2,5,16,148.78,39.02
A Ashish Reddy,Powerplay,5,6,1,0,4,83.33,66.67
A Badoni,Death,538,327,41,25,79,164.53,24.16
A Badoni,Middle,515,408,41,16,126,126.23,30.88
A Badoni,Powerplay,124,99,14,6,51,125.25,51.52
A Chandila,Death,4,7,0,0,3,57.14,42.86
A Chopra,Death,1,2,0,0,1,50.0,50.0
A Chopra,Middle,25,30,3,0,15,83.33,50.0
A Chopra,Powerplay,27,39,4,0,24,69.23,61.54
A Choudhary,Death,25,20,1,1,4,125.0,20.0
A Dananjaya,Death,4,5,0,0,2,80.0,40.0
A Flintoff,Death,25,17,2,1,4,147.06,23.53
A Flintoff,Middle,23,23,2,0,6,100.0,26.09
A Flintoff,Powerplay,14,13,1,1,7,107.69,53.85
A Kamboj,Death,55,42,4,2,10,130.95,23.81
A Kamboj,Middle,19,8,1,2,2,237.5,25.0
A Kumble,Death,34,42,3,0,16,80.95,38.1
A Kumble,Middle,1,5,0,0,4,20.0,80.0
A Manohar,Death,148,94,9,10,29,157.45,30.85
A Manohar,Middle,132,123,12,4,49,107.32,39.84
A Manohar,Powerplay,12,18,2,0,12,66.67,66.67
A Mhatre,Death,9,10,0,0,2,90.0,20.0
A Mhatre,Middle,156,84,9,12,20,185.71,23.81
A Mhatre,Powerplay,275,145,42,11,57,189.66,39.31
A Mishra,Death,259,248,23,5,91,104.44,36.69
A Mishra,Middle,120,164,8,0,73,73.17,44.51
A Mishra,Powerplay,1,5,0,0,4,20.0,80.0
A Mithun,Death,19,14,2,1,7,135.71,50.0
A Mithun,Middle,15,12,2,0,2,125.0,16.67
A Mukund,Death,0,1,0,0,1,0.0,100.0
A Mukund,Middle,5,6,0,0,2,83.33,33.33
A Mukund,Powerplay,14,15,1,0,5,93.33,33.33
A Nehra,Death,39,60,3,1,31,65.0,51.67
A Nortje,Death,49,50,6,0,23,98.0,46.0
A Raghuvanshi,Death,137,83,13,6,18,165.06,21.69
A Raghuvanshi,Middle,465,329,42,15,81,141.34,24.62
A Raghuvanshi,Powerplay,283,194,31,14,81,145.88,41.75
A Singh,Death,2,7,0,0,5,28.57,71.43
A Singh,Middle,0,2,0,0,2,0.0,100.0
A Symonds,Death,292,182,17,17,43,160.44,23.63
A Symonds,Middle,609,481,45,24,169,126.61,35.14
A Symonds,Powerplay,72,82,12,0,50,87.8,60.98
A Tomar,Powerplay,4,8,1,0,7,50.0,87.5
A Uniyal,Death,4,7,0,0,3,57.14,42.86
A Zampa,Death,6,10,0,0,4,60.0,40.0
A Zampa,Middle,9,14,1,0,8,64.29,57.14
AA Bilakhia,Death,36,33,3,0,8,109.09,24.24
AA Bilakhia,Middle,10,20,0,0,10,50.0,50.0
AA Bilakhia,Powerplay,23,31,2,0,18,74.19,58.06
AA Chavan,Death,11,8,2,0,3,137.5,37.5
AA Chavan,Middle,1,3,0,0,2,33.33,66.67
AA Jhunjhunwala,Death,69,50,8,2,16,138.0,32.0
AA Jhunjhunwala,Middle,124,125,9,2,50,99.2,40.0
AA Jhunjhunwala,Powerplay,24,34,2,1,20,70.59,58.82
AA Kulkarni,Middle,9,12,1,0,6,75.0,50.0
AA Kulkarni,Powerplay,17,21,2,0,13,80.95,61.9
AA Noffke,Middle,9,10,1,0,4,90.0,40.0
AB Agarkar,Death,123,91,9,3,19,135.16,20.88
AB Agarkar,Middle,34,47,3,0,23,72.34,48.94
AB Agarkar,Powerplay,20,13,1,2,7,153.85,53.85
AB Barath,Death,2,5,0,0,3,40.0,60.0
AB Barath,Middle,22,23,3,0,11,95.65,47.83
AB Barath,Powerplay,18,14,2,1,6,128.57,42.86
AB Dinda,Death,20,40,1,0,22,50.0,55.0
AB Dinda,Middle,6,8,1,0,5,75.0,62.5
AB McDonald,Death,80,65,5,2,17,123.08,26.15
AB McDonald,Middle,13,16,0,0,4,81.25,25.0
AB McDonald,Powerplay,30,19,4,2,10,157.89,52.63
AB de Villiers,Death,1837,829,133,137,151,221.59,18.21
AB de Villiers,Middle,2570,1957,179,93,536,131.32,27.39
AB de Villiers,Powerplay,741,614,100,20,296,120.68,48.21
AC Blizzard,Middle,21,14,1,2,7,150.0,50.0
AC Blizzard,Powerplay,99,76,20,0,38,130.26,50.0
AC Gilchrist,Death,63,32,5,5,4,196.88,12.5
AC Gilchrist,Middle,611,425,41,38,143,143.76,33.65
AC Gilchrist,Powerplay,1372,1026,188,49,481,133.72,46.88
AC Thomas,Death,20,19,1,1,8,105.26,42.11
AC Voges,Death,85,56,6,3,8,151.79,14.29
AC Voges,Middle,89,78,8,0,25,114.1,32.05
AC Voges,Powerplay,7,9,1,0,5,77.78,55.56
AD Hales,Middle,34,37,2,0,12,91.89,32.43
AD Hales,Powerplay,113,80,11,6,34,141.25,42.5
AD Mascarenhas,Death,49,40,2,1,10,122.5,25.0
AD Mascarenhas,Middle,26,36,2,0,16,72.22,44.44
AD Mascarenhas,Powerplay,4,2,1,0,1,200.0,50.0
AD Mathews,Death,423,274,30,19,69,154.38,25.18
AD Mathews,Middle,289,282,14,9,94,102.48,33.33
AD Mathews,Powerplay,10,17,0,1,13,58.82,76.47
AD Nath,Death,22,25,3,0,13,88.0,52.0
AD Nath,Middle,57,62,4,1,26,91.94,41.94
AD Nath,Powerplay,11,11,0,1,5,100.0,45.45
AD Russell,Death,1417,724,97,127,253,195.72,34.94
AD Russell,Middle,1174,767,82,92,321,153.06,41.85
AD Russell,Powerplay,41,17,5,3,6,241.18,35.29
AF Milne,Death,19,22,0,1,10,86.36,45.45
AF Milne,Middle,6,9,0,0,4,66.67,44.44
AG Murtaza,Death,10,14,1,0,7,71.43,50.0
AG Paunikar,Powerplay,48,55,9,0,35,87.27,63.64
AJ Finch,Death,282,178,22,14,52,158.43,29.21
AJ Finch,Middle,898,658,72,39,203,136.47,30.85
AJ Finch,Powerplay,903,790,120,24,373,114.3,47.22
AJ Hosein,Death,21,13,1,1,3,161.54,23.08
AJ Turner,Death,7,18,0,0,11,38.89,61.11
AJ Turner,Middle,17,10,0,2,2,170.0,20.0
AJ Tye,Death,70,59,5,3,21,118.64,35.59
AJ Tye,Middle,21,16,1,2,9,131.25,56.25
AK Markram,Death,290,161,21,18,30,180.12,18.63
AK Markram,Middle,888,692,53,31,172,128.32,24.86
AK Markram,Powerplay,486,375,57,18,163,129.6,43.47
AL Menaria,Death,91,78,9,2,30,116.67,38.46
AL Menaria,Middle,296,268,15,14,103,110.45,38.43
AL Menaria,Powerplay,8,8,0,1,5,100.0,62.5
AM Ghazanfar,Death,2,3,0,0,1,66.67,33.33
AM Nayar,Death,307,195,30,12,49,157.44,25.13
AM Nayar,Middle,297,307,17,7,112,96.74,36.48
AM Nayar,Powerplay,60,71,7,1,40,84.51,56.34
AM Rahane,Death,508,321,45,19,73,158.26,22.74
AM Rahane,Middle,2099,1709,145,47,427,122.82,24.99
AM Rahane,Powerplay,2758,2239,350,75,986,123.18,44.04
AN Ahmed,Death,36,26,4,1,9,138.46,34.62
AN Ghosh,Middle,0,1,0,0,1,0.0,100.0
AN Ghosh,Powerplay,7,7,1,0,4,100.0,57.14
AP Dole,Death,33,20,3,1,5,165.0,25.0
AP Dole,Middle,1,2,0,0,1,50.0,50.0
AP Majumdar,Death,2,3,0,0,1,66.67,33.33
AP Majumdar,Middle,64,58,3,2,18,110.34,31.03
AP Majumdar,Powerplay,21,15,4,0,6,140.0,40.0
AP Tare,Death,40,26,5,1,9,153.85,34.62
AP Tare,Middle,73,45,8,3,15,162.22,33.33
AP Tare,Powerplay,226,201,27,7,100,112.44,49.75
AR Bawne,Death,12,12,1,0,4,100.0,33.33
AR Patel,Death,1002,652,58,56,152,153.68,23.31
AR Patel,Middle,994,832,78,41,305,119.47,36.66
AR Patel,Powerplay,79,72,9,2,34,109.72,47.22
AS Joseph,Death,24,29,3,0,15,82.76,51.72
AS Joseph,Middle,3,3,0,0,0,100.0,0.0
AS Rajpoot,Death,25,36,2,1,22,69.44,61.11
AS Rajpoot,Middle,1,5,0,0,4,20.0,80.0
AS Raut,Death,120,103,6,6,37,116.5,35.92
AS Raut,Middle,67,58,6,1,22,115.52,37.93
AS Raut,Powerplay,7,6,1,0,3,116.67,50.0
AS Roy,Death,59,39,4,2,8,151.28,20.51
AS Roy,Middle,15,20,1,0,10,75.0,50.0
AS Roy,Powerplay,4,5,1,0,4,80.0,80.0
AS Yadav,Death,39,29,5,1,11,134.48,37.93
AS Yadav,Middle,10,10,0,1,4,100.0,40.0
AT Carey,Death,32,29,0,1,6,110.34,20.69
AT Rayudu,Death,1170,692,89,65,160,169.08,23.12
AT Rayudu,Middle,2383,1971,177,82,613,120.9,31.1
AT Rayudu,Powerplay,772,728,92,24,369,106.04,50.69
AU Rashid,Death,4,3,1,0,2,133.33,66.67
AU Rashid,Middle,17,12,1,1,5,141.67,41.67
AUK Pathan,Death,14,10,3,0,5,140.0,50.0
AUK Pathan,Middle,11,8,0,1,4,137.5,50.0
AUK Pathan,Powerplay,14,5,2,1,2,280.0,40.0
Abdul Basith,Death,1,1,0,0,0,100.0,0.0
Abdul Samad,Death,548,323,33,40,92,169.66,28.48
Abdul Samad,Middle,304,250,21,15,92,121.6,36.8
Abdul Samad,Powerplay,2,2,0,0,1,100.0,50.0
Abdur Razzak,Death,0,2,0,0,2,0.0,100.0
Abhishek Sharma,Death,196,127,14,11,32,154.33,25.2
Abhishek Sharma,Middle,796,455,50,57,124,174.95,27.25
Abhishek Sharma,Powerplay,1379,801,160,75,309,172.16,38.58
Abishek Porel,Death,61,35,7,3,11,174.29,31.43
Abishek Porel,Middle,325,234,23,12,57,138.89,24.36
Abishek Porel,Powerplay,382,259,50,13,105,147.49,40.54
Akash Deep,Death,20,12,1,2,5,166.67,41.67
Akash Deep,Middle,5,2,1,0,0,250.0,0.0
Akash Madhwal,Death,6,9,0,0,3,66.67,33.33
Akash Madhwal,Middle,2,5,0,0,3,40.0,60.0
Akshat Raghuwanshi,Middle,29,25,1,1,6,116.0,24.0
Aman Hakim Khan,Death,59,41,5,3,16,143.9,39.02
Aman Hakim Khan,Middle,52,58,2,3,28,89.66,48.28
Aman Hakim Khan,Powerplay,4,5,1,0,4,80.0,80.0
Aniket Verma,Death,143,77,8,12,20,185.71,25.97
Aniket Verma,Middle,155,103,8,13,38,150.49,36.89
Aniket Verma,Powerplay,17,16,2,0,7,106.25,43.75
Anirudh Singh,Death,13,14,1,0,7,92.86,50.0
Anirudh Singh,Middle,32,32,2,1,12,100.0,37.5
Anirudh Singh,Powerplay,18,20,3,0,12,90.0,60.0
Ankit Sharma,Death,48,34,2,3,10,141.18,29.41
Ankit Sharma,Middle,12,10,1,0,3,120.0,30.0
Ankit Sharma,Powerplay,27,23,4,1,14,117.39,60.87
Ankit Soni,Death,7,9,0,1,5,77.78,55.56
Anmolpreet Singh,Middle,23,24,2,0,9,95.83,37.5
Anmolpreet Singh,Powerplay,116,91,17,3,44,127.47,48.35
Anuj Rawat,Death,142,81,11,9,19,175.31,23.46
Anuj Rawat,Middle,93,98,6,2,37,94.9,37.76
Anuj Rawat,Powerplay,83,88,9,3,49,94.32,55.68
Anureet Singh,Death,32,38,2,1,13,84.21,34.21
Anureet Singh,Middle,4,9,0,0,5,44.44,55.56
Arjun Tendulkar,Death,18,14,0,1,3,128.57,21.43
Arshad Khan,Death,88,59,4,6,18,149.15,30.51
Arshad Khan,Middle,54,36,2,5,15,150.0,41.67
Arshad Khan (2),Death,5,4,1,0,2,125.0,50.0
Arshdeep Singh,Death,28,44,3,0,28,63.64,63.64
Arshdeep Singh,Middle,4,3,1,0,2,133.33,66.67
Ashok Sharma,Death,0,1,0,0,1,0.0,100.0
Ashok Sharma,Middle,1,3,0,0,2,33.33,66.67
Ashutosh Sharma,Death,410,212,33,28,51,193.4,24.06
