bowler,phase,legal_balls,runs_conceded,wickets,dot_balls,fours_conceded,sixes_conceded,economy,dot_ball_rate,wicket_rate_per_100_balls
A Ashish Reddy,Death,101,169,11,27,7,11,10.04,26.73,10.89
A Ashish Reddy,Middle,155,211,7,50,17,7,8.17,32.26,4.52
A Ashish Reddy,Powerplay,6,20,0,2,2,2,20.0,33.33,0.0
A Badoni,Death,16,19,2,4,0,1,7.12,25.0,12.5
A Badoni,Middle,24,45,2,3,2,3,11.25,12.5,8.33
A Badoni,Powerplay,1,0,0,1,0,0,0.0,100.0,0.0
A Chandila,Death,6,6,0,1,0,0,6.0,16.67,0.0
A Chandila,Middle,84,100,1,32,4,6,7.14,38.1,1.19
A Chandila,Powerplay,144,139,10,70,13,4,5.79,48.61,6.94
A Choudhary,Death,24,40,1,7,2,2,10.0,29.17,4.17
A Choudhary,Middle,41,58,1,17,6,2,8.49,41.46,2.44
A Choudhary,Powerplay,36,46,3,18,5,2,7.67,50.0,8.33
A Dananjaya,Middle,18,35,0,4,1,3,11.67,22.22,0.0
A Dananjaya,Powerplay,6,12,0,2,1,1,12.0,33.33,0.0
A Flintoff,Death,24,59,1,3,4,5,14.75,12.5,4.17
A Flintoff,Middle,30,26,1,14,1,1,5.2,46.67,3.33
A Flintoff,Powerplay,12,21,0,3,2,1,10.5,25.0,0.0
A Kamboj,Death,131,242,14,44,18,17,11.08,33.59,10.69
A Kamboj,Middle,78,130,4,25,11,6,10.0,32.05,5.13
A Kamboj,Powerplay,282,451,13,117,47,25,9.6,41.49,4.61
A Kumble,Death,167,217,17,58,13,10,7.8,34.73,10.18
A Kumble,Middle,690,782,25,252,48,24,6.8,36.52,3.62
A Kumble,Powerplay,108,90,3,64,11,1,5.0,59.26,2.78
A Mishra,Death,521,831,42,167,41,54,9.57,32.05,8.06
A Mishra,Middle,2712,3188,126,952,179,123,7.05,35.1,4.65
A Mishra,Powerplay,138,174,6,66,19,7,7.57,47.83,4.35
A Mithun,Death,78,155,4,23,14,9,11.92,29.49,5.13
A Mithun,Middle,144,217,2,41,17,7,9.04,28.47,1.39
A Mithun,Powerplay,66,105,1,26,11,5,9.55,39.39,1.52
A Nehra,Death,527,794,54,160,57,36,9.04,30.36,10.25
A Nehra,Middle,288,356,12,101,34,8,7.42,35.07,4.17
A Nehra,Powerplay,1093,1387,40,537,188,32,7.61,49.13,3.66
A Nel,Death,6,8,0,4,0,1,8.0,66.67,0.0
A Nel,Middle,6,11,0,1,2,0,11.0,16.67,0.0
A Nel,Powerplay,6,12,1,2,1,1,12.0,33.33,16.67
A Nortje,Death,440,756,27,135,56,44,10.31,30.68,6.14
A Nortje,Middle,236,346,12,83,28,15,8.8,35.17,5.08
A Nortje,Powerplay,444,638,22,204,80,19,8.62,45.95,4.95
A Singh,Death,161,272,16,46,24,12,10.14,28.57,9.94
A Singh,Middle,48,59,1,18,7,1,7.38,37.5,2.08
A Singh,Powerplay,264,308,11,125,36,4,7.0,47.35,4.17
A Symonds,Death,83,147,5,22,7,11,10.63,26.51,6.02
A Symonds,Middle,330,437,11,106,25,20,7.95,32.12,3.33
A Symonds,Powerplay,114,110,4,62,12,2,5.79,54.39,3.51
A Uniyal,Death,18,27,1,3,3,0,9.0,16.67,5.56
A Uniyal,Middle,6,18,0,1,1,2,18.0,16.67,0.0
A Uniyal,Powerplay,12,22,1,4,2,1,11.0,33.33,8.33
A Zampa,Death,89,166,13,27,11,13,11.19,30.34,14.61
A Zampa,Middle,336,442,16,95,21,21,7.89,28.27,4.76
A Zampa,Powerplay,42,48,2,17,4,1,6.86,40.48,4.76
AA Chavan,Death,14,32,3,4,4,2,13.71,28.57,21.43
AA Chavan,Middle,90,143,2,24,11,6,9.53,26.67,2.22
AA Chavan,Powerplay,144,164,3,72,13,8,6.83,50.0,2.08
AA Jhunjhunwala,Death,1,2,0,0,0,0,12.0,0.0,0.0
AA Jhunjhunwala,Middle,54,81,1,16,5,3,9.0,29.63,1.85
AA Jhunjhunwala,Powerplay,30,47,0,11,5,2,9.4,36.67,0.0
AA Kazi,Middle,12,21,0,2,1,1,10.5,16.67,0.0
AA Noffke,Death,12,11,1,5,1,0,5.5,41.67,8.33
AA Noffke,Middle,6,7,0,0,0,0,7.0,0.0,0.0
AA Noffke,Powerplay,6,23,0,1,1,2,23.0,16.67,0.0
AB Agarkar,Death,182,311,7,40,23,15,10.25,21.98,3.85
AB Agarkar,Middle,420,568,16,137,53,14,8.11,32.62,3.81
AB Agarkar,Powerplay,180,295,6,77,37,12,9.83,42.78,3.33
AB Dinda,Death,412,767,26,107,68,40,11.17,25.97,6.31
AB Dinda,Middle,294,326,10,112,24,5,6.65,38.1,3.4
AB Dinda,Powerplay,810,1010,33,408,140,13,7.48,50.37,4.07
AB McDonald,Death,30,51,3,9,3,4,10.2,30.0,10.0
AB McDonald,Middle,114,148,5,27,11,4,7.79,23.68,4.39
AB McDonald,Powerplay,42,64,3,14,6,3,9.14,33.33,7.14
AC Gilchrist,Death,1,0,1,1,0,0,0.0,100.0,100.0
AC Thomas,Death,111,193,4,20,14,7,10.43,18.02,3.6
AC Thomas,Middle,24,27,3,8,2,0,6.75,33.33,12.5
AC Thomas,Powerplay,180,196,7,98,25,4,6.53,54.44,3.89
AC Voges,Death,6,5,0,1,0,0,5.0,16.67,0.0
AC Voges,Middle,36,45,0,9,2,2,7.5,25.0,0.0
AC Voges,Powerplay,12,26,0,5,6,0,13.0,41.67,0.0
AD Mascarenhas,Death,26,42,2,6,3,1,9.69,23.08,7.69
AD Mascarenhas,Middle,114,117,5,38,9,0,6.16,33.33,4.39
AD Mascarenhas,Powerplay,168,206,12,80,22,7,7.36,47.62,7.14
AD Mathews,Death,155,225,9,38,17,8,8.71,24.52,5.81
AD Mathews,Middle,510,685,12,136,57,15,8.06,26.67,2.35
AD Mathews,Powerplay,126,185,6,50,24,6,8.81,39.68,4.76
AD Russell,Death,586,1066,51,174,90,60,10.91,29.69,8.7
AD Russell,Middle,813,1259,49,256,110,54,9.29,31.49,6.03
AD Russell,Powerplay,407,584,23,182,74,16,8.61,44.72,5.65
AF Milne,Death,65,110,4,18,9,5,10.15,27.69,6.15
AF Milne,Middle,54,90,1,13,9,3,10.0,24.07,1.85
AF Milne,Powerplay,108,181,2,40,19,7,10.06,37.04,1.85
AG Murtaza,Death,24,54,0,3,2,3,13.5,12.5,0.0
AG Murtaza,Middle,162,216,7,51,16,10,8.0,31.48,4.32
AG Murtaza,Powerplay,78,52,2,47,4,1,4.0,60.26,2.56
AJ Finch,Death,7,6,0,4,1,0,5.14,57.14,0.0
AJ Finch,Middle,30,58,1,5,3,4,11.6,16.67,3.33
AJ Finch,Powerplay,6,3,0,4,0,0,3.0,66.67,0.0
AJ Hosein,Death,10,14,1,3,0,1,8.4,30.0,10.0
AJ Hosein,Middle,78,101,5,19,2,6,7.77,24.36,6.41
AJ Hosein,Powerplay,84,124,3,41,16,6,8.86,48.81,3.57
AJ Tye,Death,288,463,24,77,36,19,9.65,26.74,8.33
AJ Tye,Middle,204,282,7,44,23,6,8.29,21.57,3.43
AJ Tye,Powerplay,192,260,11,87,31,8,8.12,45.31,5.73
AK Markram,Death,13,30,0,2,2,2,13.85,15.38,0.0
AK Markram,Middle,168,269,5,36,11,18,9.61,21.43,2.98
AK Markram,Powerplay,42,59,1,17,5,3,8.43,40.48,2.38
AL Menaria,Death,20,48,0,4,6,2,14.4,20.0,0.0
AL Menaria,Middle,42,41,2,15,3,1,5.86,35.71,4.76
AL Menaria,Powerplay,48,55,1,21,6,1,6.88,43.75,2.08
AM Ghazanfar,Death,35,74,4,15,6,7,12.69,42.86,11.43
AM Ghazanfar,Middle,138,208,4,30,12,10,9.04,21.74,2.9
AM Ghazanfar,Powerplay,60,108,7,24,11,7,10.8,40.0,11.67
AM Nayar,Death,6,9,1,1,1,0,9.0,16.67,16.67
AM Nayar,Middle,217,304,8,65,19,13,8.41,29.95,3.69
AM Nayar,Powerplay,6,10,0,3,2,0,10.0,50.0,0.0
AM Rahane,Middle,6,5,1,2,0,0,5.0,33.33,16.67
AM Salvi,Death,30,46,2,4,3,1,9.2,13.33,6.67
AM Salvi,Middle,54,80,4,23,5,4,8.89,42.59,7.41
AM Salvi,Powerplay,66,79,1,30,10,2,7.18,45.45,1.52
AN Ahmed,Death,92,177,6,24,9,11,11.54,26.09,6.52
AN Ahmed,Middle,114,151,3,33,14,3,7.95,28.95,2.63
AN Ahmed,Powerplay,138,187,3,63,20,6,8.13,45.65,2.17
AP Dole,Death,12,22,1,4,2,1,11.0,33.33,8.33
AP Dole,Middle,24,30,2,6,2,0,7.5,25.0,8.33
AP Dole,Powerplay,30,62,2,10,7,3,12.4,33.33,6.67
AR Patel,Death,382,559,22,118,32,31,8.78,30.89,5.76
AR Patel,Middle,2507,3016,96,778,164,119,7.22,31.03,3.83
AR Patel,Powerplay,696,928,21,271,85,40,8.0,38.94,3.02
AS Joseph,Death,128,215,12,38,13,11,10.08,29.69,9.38
AS Joseph,Middle,198,310,7,70,21,20,9.39,35.35,3.54
AS Joseph,Powerplay,108,182,2,54,19,12,10.11,50.0,1.85
AS Rajpoot,Death,102,203,9,18,18,9,11.94,17.65,8.82
AS Rajpoot,Middle,157,222,6,58,22,6,8.48,36.94,3.82
AS Rajpoot,Powerplay,270,419,9,116,49,16,9.31,42.96,3.33
AS Raut,Death,12,13,0,3,1,0,6.5,25.0,0.0
AS Raut,Middle,18,32,0,3,3,1,10.67,16.67,0.0
AS Roy,Death,35,56,3,10,3,3,9.6,28.57,8.57
AS Roy,Middle,174,242,10,57,14,11,8.34,32.76,5.75
AS Roy,Powerplay,114,184,2,39,19,9,9.68,34.21,1.75
AU Rashid,Death,6,10,0,1,0,1,10.0,16.67,0.0
AU Rashid,Middle,54,81,2,19,4,6,9.0,35.19,3.7
AUK Pathan,Death,15,28,0,4,2,2,11.2,26.67,0.0
AUK Pathan,Middle,24,35,0,5,3,0,8.75,20.83,0.0
Abdul Samad,Death,9,32,0,1,1,3,21.33,11.11,0.0
Abdul Samad,Middle,48,93,2,11,5,7,11.62,22.92,4.17
Abdur Razzak,Middle,12,29,0,5,3,1,14.5,41.67,0.0
Abhinandan Singh,Death,10,16,2,4,0,2,9.6,40.0,20.0
Abhinandan Singh,Middle,24,37,1,5,5,0,9.25,20.83,4.17
Abhinandan Singh,Powerplay,24,69,0,6,8,5,17.25,25.0,0.0
Abhishek Sharma,Death,23,60,1,3,3,6,15.65,13.04,4.35
Abhishek Sharma,Middle,258,370,10,67,25,15,8.6,25.97,3.88
Abhishek Sharma,Powerplay,84,128,0,27,12,6,9.14,32.14,0.0
Akash Deep,Death,44,117,2,9,7,10,15.95,20.45,4.55
Akash Deep,Middle,114,212,3,35,18,13,11.16,30.7,2.63
Akash Deep,Powerplay,120,225,5,45,23,10,11.25,37.5,4.17
Akash Madhwal,Death,136,260,9,38,21,13,11.47,27.94,6.62
Akash Madhwal,Middle,138,233,9,30,16,11,10.13,21.74,6.52
Akash Madhwal,Powerplay,78,105,5,37,18,1,8.08,47.44,6.41
Akash Singh,Death,12,27,1,1,2,2,13.5,8.33,8.33
Akash Singh,Middle,66,117,4,15,10,6,10.64,22.73,6.06
Akash Singh,Powerplay,169,262,8,75,37,8,9.3,44.38,4.73
Aman Hakim Khan,Middle,6,13,0,1,1,1,13.0,16.67,0.0
Anand Rajan,Death,41,80,5,13,6,6,11.71,31.71,12.2
Anand Rajan,Middle,66,79,3,20,5,1,7.18,30.3,4.55
Anand Rajan,Powerplay,42,47,0,24,6,1,6.71,57.14,0.0
Ankit Sharma,Death,25,49,0,6,0,5,11.76,24.0,0.0
Ankit Sharma,Middle,198,252,6,63,11,11,7.64,31.82,3.03
Ankit Sharma,Powerplay,144,152,6,68,17,2,6.33,47.22,4.17
Ankit Soni,Death,1,4,0,0,1,0,24.0,0.0,0.0
Ankit Soni,Middle,102,138,2,33,7,7,8.12,32.35,1.96
Ankit Soni,Powerplay,6,3,0,4,0,0,3.0,66.67,0.0
Anureet Singh,Death,130,243,9,35,19,15,11.22,26.92,6.92
