player,role,runs,balls_faced,strike_rate,boundaries_per_100_balls,bowler_wickets,legal_balls,runs_conceded,economy,wicket_rate_per_100_balls,batting_score,bowling_score,overall_score,bat_eligible,bowl_eligible
AD Russell,All-rounder,2655.0,1508.0,176.06,27.19,123.0,1806.0,2909.0,9.66,6.81,90.48482999999999,8.955804,90.48482999999999,True,True
AB de Villiers,Aggressive batter,5181.0,3400.0,152.38,19.62,0.0,0.0,0.0,0.0,0.0,88.494186,0.0,88.494186,True,False
Abhishek Sharma,All-rounder,2379.0,1383.0,172.02,26.61,11.0,365.0,558.0,9.17,3.01,88.175118,4.200948,88.175118,True,True
JC Buttler,Aggressive batter,4647.0,3094.0,150.19,21.65,0.0,0.0,0.0,0.0,0.0,86.382816,0.0,86.382816,True,False
SA Yadav,All-rounder,4581.0,3072.0,149.12,21.48,0.0,6.0,8.0,8.0,0.0,86.084034,0.16532,86.084034,True,False
CH Gayle,All-rounder,4997.0,3331.0,150.02,23.03,18.0,554.0,755.0,8.18,3.25,85.82294700000001,6.052574000000001,85.82294700000001,True,True
N Pooran,Aggressive batter,2527.0,1538.0,164.3,23.08,0.0,0.0,0.0,0.0,0.0,85.645188,0.0,85.645188,True,False
H Klaasen,Aggressive batter,2104.0,1253.0,167.92,21.23,0.0,0.0,0.0,0.0,0.0,85.17158699999999,0.0,85.17158699999999,True,False
V Sehwag,All-rounder,2728.0,1740.0,156.78,25.29,6.0,136.0,236.0,10.41,4.41,84.50585699999999,2.7674400000000006,84.50585699999999,True,True
GJ Maxwell,All-rounder,2820.0,1810.0,155.8,22.04,41.0,1022.0,1422.0,8.35,4.01,84.01192800000001,7.329586000000002,84.01192800000001,True,True
V Suryavanshi,Aggressive batter,1028.0,447.0,229.98,39.6,0.0,0.0,0.0,0.0,0.0,83.78817199999999,0.0,83.78817199999999,True,False
RR Pant,Aggressive batter,3879.0,2634.0,147.27,20.2,0.0,0.0,0.0,0.0,0.0,83.63523,0.0,83.63523,True,False
DA Warner,All-rounder,6567.0,4680.0,140.32,19.21,0.0,1.0,2.0,12.0,0.0,83.62709999999998,0.0,83.62709999999998,True,False
Shubman Gill,Aggressive batter,4598.0,3223.0,142.66,18.55,0.0,0.0,0.0,0.0,0.0,83.082915,0.0,83.082915,True,False
SV Samson,Aggressive batter,5181.0,3653.0,141.83,18.48,0.0,0.0,0.0,0.0,0.0,82.98166800000001,0.0,82.98166800000001,True,False
KL Rahul,Anchor / accumulator,5828.0,4175.0,139.59,17.92,0.0,0.0,0.0,0.0,0.0,82.88678700000001,0.0,82.88678700000001,True,False
V Kohli,All-rounder,9346.0,6911.0,135.23,16.84,4.0,251.0,371.0,8.87,1.59,82.731922,2.750592,82.731922,True,True
KA Pollard,All-rounder,3437.0,2315.0,148.47,19.22,69.0,1488.0,2200.0,8.87,4.64,82.482885,7.115264,82.482885,True,True
YBK Jaiswal,All-rounder,2593.0,1692.0,153.25,24.88,0.0,1.0,6.0,36.0,0.0,81.919161,0.0,81.919161,True,False
SK Raina,All-rounder,5536.0,4025.0,137.54,17.64,25.0,908.0,1139.0,7.53,2.75,81.66918199999999,6.810112,81.66918199999999,True,True
MS Dhoni,Anchor / accumulator,5439.0,3935.0,138.22,16.24,0.0,0.0,0.0,0.0,0.0,81.41570200000001,0.0,81.41570200000001,True,False
Ishan Kishan,All-rounder,3600.0,2499.0,144.06,20.57,0.0,1.0,4.0,24.0,0.0,81.383555,0.0,81.383555,True,False
B Sai Sudharsan,Aggressive batter,2515.0,1674.0,150.24,20.37,0.0,0.0,0.0,0.0,0.0,81.101872,0.0,81.101872,True,False
SP Narine,All-rounder,1820.0,1099.0,165.61,28.3,209.0,4660.0,5379.0,6.93,4.48,80.95564200000001,10.79684,80.95564200000001,True,True
HH Pandya,All-rounder,2964.0,2015.0,147.1,19.11,82.0,1764.0,2802.0,9.53,4.65,80.81517,8.09685,80.81517,True,True
TM Head,All-rounder,1556.0,907.0,171.55,27.56,3.0,64.0,121.0,11.34,4.69,80.677677,0.926464,80.677677,True,True
YK Pathan,All-rounder,3222.0,2233.0,144.29,18.99,42.0,1147.0,1443.0,7.55,3.66,80.418996,8.006128,80.418996,True,True
RG Sharma,All-rounder,7331.0,5496.0,133.39,17.92,15.0,339.0,462.0,8.18,4.42,80.30792399999999,4.507128,80.30792399999999,True,True
F du Plessis,All-rounder,4773.0,3506.0,136.14,17.51,0.0,6.0,16.0,16.0,0.0,79.91424899999998,0.0,79.91424899999998,True,False
KD Karthik,Anchor / accumulator,4843.0,3570.0,135.66,17.56,0.0,0.0,0.0,0.0,0.0,79.8913,0.0,79.8913,True,False
SS Iyer,All-rounder,4233.0,3085.0,137.21,17.37,0.0,6.0,7.0,7.0,0.0,79.56674000000001,0.30668000000000006,79.56674000000001,True,False
RM Patidar,Aggressive batter,1612.0,978.0,164.83,22.09,0.0,0.0,0.0,0.0,0.0,79.17750000000001,0.0,79.17750000000001,True,False
DA Miller,Anchor / accumulator,3288.0,2349.0,139.97,16.48,0.0,0.0,0.0,0.0,0.0,79.096451,0.0,79.096451,True,False
P Simran Singh,Aggressive batter,1865.0,1184.0,157.52,24.49,0.0,0.0,0.0,0.0,0.0,78.849582,0.0,78.849582,True,False
SR Watson,All-rounder,3880.0,2801.0,138.52,20.24,92.0,2029.0,2742.0,8.11,4.53,78.80481,9.828364,78.80481,True,True
MP Stoinis,All-rounder,2242.0,1511.0,148.38,19.72,46.0,935.0,1575.0,10.11,4.92,78.090756,6.09385,78.090756,True,True
S Dhawan,All-rounder,6769.0,5304.0,127.62,17.36,4.0,48.0,72.0,9.0,8.33,77.507672,1.603008,77.507672,True,False
PD Salt,Aggressive batter,1258.0,715.0,175.94,28.67,0.0,0.0,0.0,0.0,0.0,77.39846399999999,0.0,77.39846399999999,True,False
RV Uthappa,Anchor / accumulator,4954.0,3784.0,130.92,17.52,0.0,0.0,0.0,0.0,0.0,77.29326,0.0,77.29326,True,False
N Rana,All-rounder,3078.0,2228.0,138.15,19.7,10.0,216.0,326.0,9.06,4.63,77.014377,3.790274,77.014377,True,True
Q de Kock,Anchor / accumulator,3444.0,2546.0,135.27,18.74,0.0,0.0,0.0,0.0,0.0,76.877815,0.0,76.877815,True,False
S Dube,All-rounder,2129.0,1460.0,145.82,18.42,6.0,154.0,287.0,11.18,3.9,76.22222,1.9607760000000005,76.22222,True,True
TH David,All-rounder,1151.0,642.0,179.28,24.77,0.0,6.0,18.0,18.0,0.0,75.933198,0.06668,75.933198,True,False
PP Shaw,Aggressive batter,1892.0,1279.0,147.93,23.38,0.0,0.0,0.0,0.0,0.0,75.83949000000001,0.0,75.83949000000001,True,False
RD Gaikwad,Anchor / accumulator,2839.0,2083.0,136.29,17.62,0.0,0.0,0.0,0.0,0.0,75.708502,0.0,75.708502,True,False
MR Marsh,All-rounder,1855.0,1245.0,149.0,21.37,37.0,560.0,803.0,8.6,6.61,75.63745800000001,6.814668000000001,75.63745800000001,True,True
RA Jadeja,All-rounder,3526.0,2685.0,131.32,14.38,180.0,4254.0,5525.0,7.79,4.23,75.602304,9.046724000000001,75.602304,True,True
AT Rayudu,Anchor / accumulator,4348.0,3391.0,128.22,15.69,0.0,0.0,0.0,0.0,0.0,75.432439,0.0,75.432439,True,False
AM Rahane,All-rounder,5367.0,4269.0,125.72,15.95,1.0,6.0,5.0,5.0,16.67,75.357922,0.32268,75.357922,True,False
MA Agarwal,Anchor / accumulator,2764.0,2053.0,134.63,18.27,0.0,0.0,0.0,0.0,0.0,74.734038,0.0,74.734038,True,False
Tilak Varma,All-rounder,1858.0,1278.0,145.38,18.31,0.0,22.0,28.0,7.64,0.0,74.69901,0.6130880000000001,74.69901,True,False
RA Tripathi,All-rounder,2291.0,1655.0,138.43,18.97,0.0,6.0,12.0,12.0,0.0,74.50042599999999,0.0,74.50042599999999,True,False
R Parag,All-rounder,1879.0,1296.0,144.98,18.83,9.0,319.0,516.0,9.71,2.82,74.225732,3.3124800000000003,74.225732,True,True
BB McCullum,Anchor / accumulator,2882.0,2176.0,132.44,19.44,0.0,0.0,0.0,0.0,0.0,73.755132,0.0,73.755132,True,False
G Gambhir,Anchor / accumulator,4217.0,3394.0,124.25,16.23,0.0,0.0,0.0,0.0,0.0,73.6119,0.0,73.6119,True,False
SE Marsh,Anchor / accumulator,2489.0,1866.0,133.39,18.6,0.0,0.0,0.0,0.0,0.0,73.478601,0.0,73.478601,True,False
SO Hetmyer,Aggressive batter,1566.0,1044.0,150.0,18.68,0.0,0.0,0.0,0.0,0.0,73.227588,0.0,73.227588,True,False
DR Smith,All-rounder,2385.0,1755.0,135.9,20.63,26.0,539.0,825.0,9.18,4.82,73.21256600000001,5.964180000000001,73.21256600000001,True,True
AC Gilchrist,All-rounder,2069.0,1483.0,139.51,22.32,1.0,1.0,0.0,0.0,100.0,73.200192,0.1944,73.200192,True,False
JM Bairstow,Aggressive batter,1674.0,1142.0,146.58,21.63,0.0,0.0,0.0,0.0,0.0,73.172088,0.0,73.172088,True,False
Priyansh Arya,Aggressive batter,909.0,469.0,193.82,31.98,0.0,0.0,0.0,0.0,0.0,73.10972,0.0,73.10972,True,False
D Padikkal,Anchor / accumulator,2270.0,1700.0,133.53,18.88,0.0,0.0,0.0,0.0,0.0,72.37495,0.0,72.37495,True,False
WP Saha,Anchor / accumulator,2934.0,2296.0,127.79,16.68,0.0,0.0,0.0,0.0,0.0,72.33330000000001,0.0,72.33330000000001,True,False
Yuvraj Singh,All-rounder,2754.0,2115.0,130.21,17.35,36.0,869.0,1091.0,7.53,4.14,71.95464,6.970826000000001,71.95464,True,True
SPD Smith,All-rounder,2495.0,1931.0,129.21,14.81,0.0,2.0,5.0,15.0,0.0,71.940352,0.0,71.940352,True,False
MK Pandey,Anchor / accumulator,4021.0,3288.0,122.29,14.17,0.0,0.0,0.0,0.0,0.0,71.849208,0.0,71.849208,True,False
AR Patel,All-rounder,2089.0,1556.0,134.25,15.81,139.0,3585.0,4503.0,7.54,3.88,71.695928,9.087858,71.695928,True,True
VR Iyer,All-rounder,1677.0,1180.0,142.12,19.92,3.0,81.0,145.0,10.74,3.7,71.583352,1.211544,71.583352,True,True
KH Pandya,All-rounder,1982.0,1476.0,134.28,16.87,107.0,2701.0,3451.0,7.67,3.96,70.898427,8.6148,70.898427,True,True
RK Singh,Aggressive batter,1398.0,948.0,147.47,19.2,0.0,0.0,0.0,0.0,0.0,70.8054,0.0,70.8054,True,False
Dhruv Jurel,Aggressive batter,1195.0,775.0,154.19,20.65,0.0,0.0,0.0,0.0,0.0,70.154742,0.0,70.154742,True,False
AK Markram,All-rounder,1671.0,1228.0,136.07,16.21,6.0,223.0,358.0,9.63,2.69,69.911016,2.963256,69.911016,True,True
AJ Finch,All-rounder,2092.0,1626.0,128.66,17.96,1.0,43.0,67.0,9.35,2.33,69.202936,1.00475,69.202936,True,False
PA Patel,Anchor / accumulator,2848.0,2350.0,121.19,17.62,0.0,0.0,0.0,0.0,0.0,69.170921,0.0,69.170921,True,False
KS Williamson,All-rounder,2132.0,1692.0,126.0,14.83,0.0,18.0,31.0,10.33,0.0,68.644197,0.16473000000000002,68.644197,True,False
KK Nair,Anchor / accumulator,1712.0,1301.0,131.59,18.22,0.0,0.0,0.0,0.0,0.0,68.23427699999999,0.0,68.23427699999999,True,False
LS Livingstone,All-rounder,1066.0,680.0,156.76,21.47,13.0,312.0,471.0,9.06,4.17,68.09180999999998,4.0983600000000004,68.09180999999998,True,True
M Vijay,All-rounder,2619.0,2147.0,121.98,15.74,0.0,36.0,49.0,8.17,0.0,67.874538,0.639432,67.874538,True,False
JM Sharma,Aggressive batter,1107.0,723.0,153.11,21.3,0.0,0.0,0.0,0.0,0.0,67.697371,0.0,67.697371,True,False
JP Duminy,All-rounder,2029.0,1631.0,124.4,12.57,23.0,678.0,847.0,7.5,3.39,67.671825,6.970193999999999,67.671825,True,True
CA Lynn,Aggressive batter,1329.0,941.0,141.23,21.04,0.0,0.0,0.0,0.0,0.0,67.41273,0.0,67.41273,True,False
SR Tendulkar,All-rounder,2334.0,1941.0,120.25,16.74,0.0,36.0,59.0,9.83,0.0,67.268282,0.33063,67.268282,True,False
R Tewatia,All-rounder,1302.0,938.0,138.81,18.34,32.0,843.0,1117.0,7.95,3.8,66.880614,6.940151999999999,66.880614,True,True
C Green,All-rounder,1029.0,677.0,151.99,19.65,23.0,571.0,916.0,9.63,4.03,66.679074,6.091616000000001,66.679074,True,True
MEK Hussey,Anchor / accumulator,1977.0,1610.0,122.8,15.53,0.0,0.0,0.0,0.0,0.0,66.557379,0.0,66.557379,True,False
Shashank Singh,All-rounder,905.0,560.0,161.61,21.07,5.0,90.0,141.0,9.4,5.56,66.437154,1.8318299999999998,66.437154,True,True
DJ Bravo,All-rounder,1560.0,1196.0,130.43,15.55,183.0,3120.0,4436.0,8.53,5.87,66.13482800000001,9.242208000000002,66.13482800000001,True,True
T Stubbs,All-rounder,986.0,647.0,152.4,17.93,4.0,36.0,69.0,11.5,11.11,66.105521,1.21017,66.105521,True,False
DPMD Jayawardene,Anchor / accumulator,1808.0,1462.0,123.67,16.42,0.0,0.0,0.0,0.0,0.0,66.01737,0.0,66.01737,True,False
A Badoni,All-rounder,1178.0,834.0,141.25,17.15,4.0,41.0,64.0,9.37,9.76,65.87805,1.0629600000000001,65.87805,True,False
RD Rickelton,Aggressive batter,836.0,495.0,168.89,26.87,0.0,0.0,0.0,0.0,0.0,65.434936,0.0,65.434936,True,False
DJ Hooda,All-rounder,1497.0,1167.0,128.28,13.71,10.0,379.0,550.0,8.71,2.64,65.174092,4.326732000000001,65.174092,True,True
MM Ali,All-rounder,1167.0,831.0,140.43,19.49,41.0,854.0,1036.0,7.28,4.8,65.14011,7.92984,65.14011,True,True
Mandeep Singh,All-rounder,1706.0,1385.0,123.18,15.45,0.0,12.0,26.0,13.0,0.0,64.978278,0.063308,64.978278,True,False
KC Sangakkara,Anchor / accumulator,1687.0,1385.0,121.81,16.03,0.0,0.0,0.0,0.0,0.0,64.711128,0.0,64.711128,True,False
DP Conway,Aggressive batter,1080.0,770.0,140.26,19.61,0.0,0.0,0.0,0.0,0.0,64.64088,0.0,64.64088,True,False
R Dravid,Anchor / accumulator,2174.0,1878.0,115.76,15.81,0.0,0.0,0.0,0.0,0.0,64.373298,0.0,64.373298,True,False
ML Hayden,Anchor / accumulator,1107.0,799.0,138.55,20.65,0.0,0.0,0.0,0.0,0.0,63.801520000000004,0.0,63.801520000000004,True,False
BJ Hodge,All-rounder,1400.0,1112.0,125.9,14.84,17.0,234.0,310.0,7.95,7.26,63.402480000000004,4.789092,63.402480000000004,True,True
V Shankar,All-rounder,1233.0,947.0,130.2,14.36,9.0,238.0,344.0,8.67,3.78,63.259614,4.228172000000001,63.259614,True,True
JA Morkel,All-rounder,975.0,683.0,142.75,16.98,85.0,1723.0,2409.0,8.39,4.93,62.752244999999995,9.298728,62.752244999999995,True,True
MK Tiwary,All-rounder,1695.0,1444.0,117.38,13.57,1.0,42.0,83.0,11.86,2.38,62.72348399999999,0.651162,62.72348399999999,True,False
SS Tiwary,Anchor / accumulator,1494.0,1235.0,120.97,13.04,0.0,0.0,0.0,0.0,0.0,62.55574500000001,0.0,62.55574500000001,True,False
JH Kallis,All-rounder,2427.0,2213.0,109.67,13.51,65.0,1742.0,2348.0,8.09,3.73,62.510474,8.492468,62.510474,True,True
A Raghuvanshi,Aggressive batter,885.0,606.0,146.04,19.97,0.0,0.0,0.0,0.0,0.0,62.264499,0.0,62.264499,True,False
EJG Morgan,Anchor / accumulator,1406.0,1147.0,122.58,15.34,0.0,0.0,0.0,0.0,0.0,61.97295,0.0,61.97295,True,False
Abdul Samad,All-rounder,859.0,575.0,149.39,19.13,2.0,57.0,125.0,13.16,3.51,61.757999999999996,0.8982400000000001,61.757999999999996,True,False
S Badrinath,Anchor / accumulator,1441.0,1208.0,119.29,15.07,0.0,0.0,0.0,0.0,0.0,61.70103,0.0,61.70103,True,False
SM Curran,All-rounder,997.0,725.0,137.52,17.38,59.0,1253.0,2059.0,9.86,4.71,61.680094000000004,7.285596000000002,61.680094000000004,True,True
DJ Hussey,All-rounder,1322.0,1070.0,123.55,14.02,8.0,317.0,485.0,9.18,2.52,61.648235,3.886868,61.648235,True,True
Naman Dhir,All-rounder,710.0,432.0,164.35,24.07,0.0,52.0,76.0,8.77,0.0,61.18418,0.817256,61.18418,True,False
KM Jadhav,Anchor / accumulator,1208.0,969.0,124.66,14.65,0.0,0.0,0.0,0.0,0.0,61.132988,0.0,61.132988,True,False
