batter,runs,balls_faced,fours,sixes,dot_balls,matches,strike_rate,boundaries_per_100_balls,dot_ball_rate
A Ashish Reddy,280,193,16,15,56,23,145.0777202072539,16.06217616580311,29.015544041450774
A Badoni,1178,834,96,47,256,56,141.24700239808155,17.1462829736211,30.69544364508393
A Chandila,4,7,0,0,3,2,57.14285714285714,0.0,42.857142857142854
A Chopra,53,71,7,0,40,6,74.64788732394366,9.859154929577464,56.33802816901409
A Choudhary,25,20,1,1,4,3,125.0,10.0,20.0
A Dananjaya,4,5,0,0,2,1,80.0,0.0,40.0
A Flintoff,62,53,5,2,17,3,116.98113207547169,13.20754716981132,32.075471698113205
A Kamboj,74,50,5,4,12,10,148.0,18.0,24.0
A Kumble,35,47,3,0,20,15,74.46808510638297,6.382978723404255,42.5531914893617
A Manohar,292,235,23,14,90,20,124.25531914893617,15.74468085106383,38.297872340425535
A Mhatre,441,239,51,23,79,13,184.51882845188285,30.962343096234306,33.054393305439326
A Mishra,381,417,31,5,168,55,91.36690647482014,8.633093525179856,40.28776978417266
A Mithun,34,26,4,1,9,6,130.76923076923077,19.230769230769234,34.61538461538461
A Mukund,19,22,1,0,8,2,86.36363636363636,4.545454545454546,36.36363636363637
A Nehra,41,60,3,1,31,17,68.33333333333333,6.666666666666667,51.66666666666667
A Nortje,49,50,6,0,23,14,98.0,12.0,46.0
A Raghuvanshi,885,606,86,35,180,30,146.03960396039605,19.966996699669966,29.7029702970297
A Singh,2,9,0,0,7,5,22.22222222222222,0.0,77.77777777777779
A Symonds,974,745,74,41,262,36,130.73825503355704,15.436241610738255,35.16778523489933
A Tomar,4,8,1,0,7,1,50.0,12.5,87.5
A Uniyal,4,7,0,0,3,2,57.14285714285714,0.0,42.857142857142854
A Zampa,15,24,1,0,12,5,62.5,4.166666666666666,50.0
AA Bilakhia,69,84,5,0,36,7,82.14285714285714,5.952380952380952,42.857142857142854
AA Chavan,12,11,2,0,5,3,109.09090909090908,18.181818181818183,45.45454545454545
AA Jhunjhunwala,217,209,19,5,86,15,103.82775119617224,11.483253588516746,41.14832535885167
AA Kulkarni,26,33,3,0,19,4,78.78787878787878,9.090909090909092,57.57575757575758
AA Noffke,9,10,1,0,4,1,90.0,10.0,40.0
AB Agarkar,179,151,13,5,49,18,118.5430463576159,11.920529801324504,32.450331125827816
AB Barath,42,42,5,1,20,3,100.0,14.285714285714285,47.61904761904761
AB Dinda,26,48,2,0,27,16,54.166666666666664,4.166666666666666,56.25
AB McDonald,123,100,9,4,31,9,123.0,13.0,31.0
AB de Villiers,5181,3400,414,253,983,170,152.3823529411765,19.61764705882353,28.911764705882355
AC Blizzard,120,90,21,2,45,7,133.33333333333331,25.555555555555554,50.0
