bowler,legal_balls,runs_conceded,wickets,dot_balls,matches,economy,wicket_rate_per_100_balls,dot_ball_rate
A Ashish Reddy,262,386,18,79,20,8.839694656488549,6.870229007633588,30.15267175572519
A Badoni,41,63,4,8,8,9.21951219512195,9.75609756097561,19.51219512195122
A Chandila,234,242,11,103,12,6.205128205128206,4.700854700854701,44.01709401709402
A Choudhary,101,137,5,42,5,8.138613861386139,4.9504950495049505,41.584158415841586
A Dananjaya,24,46,0,6,1,11.5,0.0,25.0
A Flintoff,66,105,2,20,3,9.545454545454545,3.0303030303030303,30.303030303030305
A Kamboj,491,794,31,186,25,9.70264765784114,6.313645621181263,37.88187372708758
A Kumble,965,1027,45,374,42,6.385492227979276,4.66321243523316,38.75647668393783
A Mishra,3371,4065,174,1185,162,7.235241768021359,5.161673094037377,35.15277365766835
A Mithun,288,448,7,90,16,9.333333333333334,2.430555555555556,31.25
A Nehra,1908,2422,106,798,88,7.616352201257861,5.555555555555555,41.82389937106918
A Nel,18,31,1,7,1,10.333333333333334,5.555555555555555,38.88888888888889
A Nortje,1120,1631,61,422,49,8.7375,5.446428571428571,37.67857142857143
A Singh,473,603,28,189,23,7.649048625792812,5.9196617336152215,39.95771670190275
A Symonds,527,656,20,190,30,7.468690702087287,3.795066413662239,36.05313092979127
A Uniyal,36,64,2,8,2,10.666666666666666,5.555555555555555,22.22222222222222
A Zampa,467,639,31,139,22,8.20985010706638,6.638115631691649,29.764453961456105
AA Chavan,248,318,8,100,13,7.693548387096774,3.225806451612903,40.32258064516129
AA Jhunjhunwala,85,126,1,27,10,8.894117647058824,1.1764705882352942,31.76470588235294
AA Kazi,12,20,0,2,1,10.0,0.0,16.666666666666664
AA Noffke,24,35,1,6,1,8.75,4.166666666666666,25.0
AB Agarkar,782,1112,29,254,42,8.531969309462916,3.70843989769821,32.48081841432225
AB Dinda,1516,1987,69,627,75,7.864116094986808,4.5514511873350925,41.35883905013193
AB McDonald,186,259,11,50,10,8.35483870967742,5.913978494623656,26.881720430107524
AC Gilchrist,1,0,1,1,1,0.0,100.0,100.0
AC Thomas,315,394,14,126,15,7.504761904761905,4.444444444444445,40.0
AC Voges,54,74,0,15,7,8.222222222222223,0.0,27.77777777777778
AD Mascarenhas,308,353,19,124,13,6.876623376623376,6.1688311688311686,40.25974025974026
AD Mathews,791,1054,27,224,44,7.994943109987358,3.4134007585335016,28.31858407079646
AD Russell,1806,2773,123,612,121,9.212624584717608,6.810631229235881,33.88704318936877
AF Milne,227,352,7,71,11,9.303964757709252,3.0837004405286343,31.277533039647576
AG Murtaza,264,304,9,101,12,6.90909090909091,3.4090909090909087,38.25757575757576
AJ Finch,43,66,1,13,5,9.209302325581396,2.3255813953488373,30.23255813953488
AJ Hosein,172,235,9,63,8,8.19767441860465,5.232558139534884,36.627906976744185
AJ Tye,684,949,42,208,30,8.32456140350877,6.140350877192982,30.409356725146196
AK Markram,223,350,6,55,24,9.417040358744394,2.690582959641256,24.663677130044842
AL Menaria,110,140,3,40,12,7.636363636363637,2.727272727272727,36.36363636363637
AM Ghazanfar,233,383,15,69,11,9.862660944206008,6.437768240343347,29.613733905579398
AM Nayar,229,311,9,69,19,8.148471615720524,3.9301310043668125,30.131004366812224
AM Rahane,6,5,1,2,1,5.0,16.666666666666664,33.33333333333333
AM Salvi,150,190,7,57,7,7.6,4.666666666666667,38.0
AN Ahmed,344,467,12,120,17,8.145348837209301,3.488372093023256,34.883720930232556
AP Dole,66,105,5,20,3,9.545454545454545,7.575757575757576,30.303030303030305
AR Patel,3585,4369,139,1167,173,7.312133891213389,3.877266387726639,32.55230125523013
AS Joseph,434,669,21,162,22,9.248847926267281,4.838709677419355,37.327188940092164
AS Rajpoot,529,772,24,192,29,8.756143667296787,4.536862003780719,36.29489603024575
AS Raut,30,44,0,6,5,8.799999999999999,0.0,20.0
AS Roy,323,450,15,106,22,8.359133126934985,4.643962848297214,32.81733746130031
AU Rashid,60,91,2,20,3,9.1,3.3333333333333335,33.33333333333333
AUK Pathan,39,57,0,9,3,8.769230769230768,0.0,23.076923076923077
Abdul Samad,57,120,2,12,7,12.631578947368421,3.508771929824561,21.052631578947366
Abdur Razzak,12,23,0,5,1,11.5,0.0,41.66666666666667
Abhinandan Singh,58,120,3,15,3,12.413793103448278,5.172413793103448,25.862068965517242
Abhishek Sharma,365,540,11,97,36,8.876712328767123,3.0136986301369864,26.575342465753426
Akash Deep,278,520,10,89,14,11.223021582733812,3.597122302158273,32.014388489208635
Akash Madhwal,352,562,23,105,17,9.579545454545455,6.534090909090909,29.829545454545453
Akash Singh,247,393,13,91,12,9.546558704453442,5.263157894736842,36.84210526315789
Aman Hakim Khan,6,13,0,1,1,13.0,0.0,16.666666666666664
Anand Rajan,149,188,8,57,8,7.570469798657718,5.369127516778524,38.25503355704698
Ankit Sharma,367,436,12,137,21,7.128065395095367,3.2697547683923704,37.32970027247956
