player,runs,balls_faced,fours,sixes,dot_balls_bat,matches_bat,strike_rate,boundaries_per_100_balls,dot_ball_rate_bat,legal_balls,runs_conceded,wickets,dot_balls_bowl,matches_bowl,economy,wicket_rate_per_100_balls,dot_ball_rate_bowl,role,batting_score,bowling_score,overall_score
A Ashish Reddy,280.0,193.0,16.0,15.0,56.0,23.0,145.0777202072539,16.06217616580311,29.015544041450774,262.0,386.0,18.0,79.0,20.0,8.839694656488549,6.870229007633588,30.15267175572519,All-rounder,91.55440414507773,10.042748091603055,91.55440414507773
A Badoni,1178.0,834.0,96.0,47.0,256.0,56.0,141.24700239808155,17.1462829736211,30.69544364508393,41.0,63.0,4.0,8.0,8.0,9.21951219512195,9.75609756097561,19.51219512195122,All-rounder,89.62829736211032,8.917073170731708,89.62829736211032
A Chandila,4.0,7.0,0.0,0.0,3.0,2.0,57.14285714285714,0.0,42.857142857142854,234.0,242.0,11.0,103.0,12.0,6.205128205128206,4.700854700854701,44.01709401709402,All-rounder,40.0,13.001709401709402,40.0
A Chopra,53.0,71.0,7.0,0.0,40.0,6.0,74.64788732394366,9.859154929577464,56.33802816901409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limited-sample batter,49.014084507042256,4.800000000000001,49.014084507042256
A Choudhary,25.0,20.0,1.0,1.0,4.0,3.0,125.0,10.0,20.0,101.0,137.0,5.0,42.0,5.0,8.138613861386139,4.9504950495049505,41.584158415841586,All-rounder,81.5,11.841584158415841,81.5
A Dananjaya,4.0,5.0,0.0,0.0,2.0,1.0,80.0,0.0,40.0,24.0,46.0,0.0,6.0,1.0,11.5,0.0,25.0,All-rounder,52.0,5.2,52.0
A Flintoff,62.0,53.0,5.0,2.0,17.0,3.0,116.98113207547169,13.20754716981132,32.075471698113205,66.0,105.0,2.0,20.0,3.0,9.545454545454545,3.0303030303030303,30.303030303030305,All-rounder,76.0377358490566,8.254545454545456,76.0377358490566
A Kamboj,74.0,50.0,5.0,4.0,12.0,10.0,148.0,18.0,24.0,491.0,794.0,31.0,186.0,25.0,9.70264765784114,6.313645621181263,37.88187372708758,All-rounder,94.60000000000001,11.020773930753565,94.60000000000001
A Kumble,35.0,47.0,3.0,0.0,20.0,15.0,74.46808510638297,6.382978723404255,42.5531914893617,965.0,1027.0,45.0,374.0,42.0,6.385492227979276,4.66321243523316,38.75647668393783,All-rounder,50.638297872340424,11.86238341968912,50.638297872340424
A Manohar,292.0,235.0,23.0,14.0,90.0,20.0,124.25531914893617,15.74468085106383,38.297872340425535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limited-sample batter,79.19148936170212,4.800000000000001,79.19148936170212
A Mhatre,441.0,239.0,51.0,23.0,79.0,13.0,184.51882845188285,30.962343096234306,33.054393305439326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Limited-sample batter,114.93723849372385,4.800000000000001,114.93723849372385
A Mishra,381.0,417.0,31.0,5.0,168.0,55.0,91.36690647482014,8.633093525179856,40.28776978417266,3371.0,4065.0,174.0,1185.0,162.0,7.235241768021359,5.161673094037377,35.15277365766835,All-rounder,60.21582733812949,11.001127261940077,60.21582733812949
A Mithun,34.0,26.0,4.0,1.0,9.0,6.0,130.76923076923077,19.230769230769234,34.61538461538461,288.0,448.0,7.0,90.0,16.0,9.333333333333334,2.430555555555556,31.25,All-rounder,84.23076923076924,8.288888888888888,84.23076923076924
